depth [m],density [kg/m^3]
2.400,505.1646305
3.200,422.2508586
4.000,468.5011014
4.800,484.4254977
5.600,483.124596
6.400,511.784361
7.200,540.6036147
8.000,532.5673888
8.800,534.6511122
9.600,558.5907804
10.400,555.1254326
11.200,569.0458324
12.000,577.8736509
12.800,578.0758759
13.600,588.6216642
14.400,574.7019097
15.200,596.5701813
16.000,601.0644957
16.800,605.6594631
17.600,618.4762647
18.400,618.0933933
19.200,626.9984246
20.000,632.2116909
20.800,640.6808355
21.600,636.0880502
22.400,639.0167474
23.185,651.2272585
24.000,667.7799857
24.800,657.2568736
25.605,668.5408043
26.400,675.8183525
27.200,672.4575202
28.000,675.6296366
28.800,689.9629592
29.600,700.3215218
30.400,699.0774888
31.200,703.1887512
32.000,700.7435541
32.800,719.7047824
33.600,722.9700022
34.435,732.5485036
35.200,724.6613437
36.000,729.4061629
36.800,734.3926351
37.600,748.213836
38.400,749.6414505
39.215,756.19855
40.000,755.8511029
40.840,767.6658964
41.600,771.987681
42.400,772.6588806
43.200,782.6617137
44.000,769.430549
44.800,785.0030877
45.600,785.3345224
46.400,797.0850121
47.190,803.9437911
48.000,800.5132483
48.800,802.227496
49.600,802.8706877
50.400,815.8407245
51.200,807.2092126
52.000,807.2347866
52.830,810.7285678
53.600,837.7540928
54.400,832.7711769
55.190,824.6492774
56.000,843.8108303
56.800,830.5562232
57.600,840.9644933
58.400,835.9726186
59.200,833.0173899
60.000,847.7516579
60.800,836.5761449
61.600,849.2842845
62.400,817.1572881
63.180,844.7212218
64.000,849.0245446
64.800,853.2777842
65.600,825.1066864
66.400,840.1869653
67.200,860.5277171
68.000,875.7007499
68.800,838.1983571
69.600,858.1312731
70.400,869.3610138
71.200,851.9528972
72.040,862.5426576
72.800,881.5322592
73.600,883.1451882
74.400,877.9597894
75.200,883.7304171
76.000,873.641395
76.800,888.9216938
77.600,883.2928091
78.400,861.1826735
79.200,891.1469303
80.000,885.7735041
80.800,885.2250169
81.600,885.6208335
82.400,876.3110386
83.200,887.4434392
84.000,886.4551948
84.800,887.6130824
85.600,879.9382903
86.400,894.0380274
87.200,891.886775
88.000,886.7761346
88.800,896.4360498
89.600,884.8081209
90.400,896.0082236
91.200,893.1318255
92.000,896.996468
92.800,886.5332935
93.610,898.8487065
94.400,886.2348487
95.200,891.4795458
96.000,898.3882142
96.800,896.172931
97.600,876.7895806
98.400,895.4365477
99.200,895.5141015
100.000,882.618901
100.800,892.0279636
101.600,910.8590333
102.400,860.544022
103.200,898.239424
104.000,869.1416669
104.810,862.8869505
105.600,888.9280647
106.400,900.1259085
107.200,898.3506898
108.000,896.6383251
108.800,899.1191779
109.600,896.5906732
110.400,903.9406085
111.200,907.33999
112.000,899.6653963
112.800,904.5730081
113.600,899.8690739
114.400,899.4479235
115.200,899.7045339
116.000,886.7058766
116.790,898.7631153
117.600,913.841389
118.400,898.088162
119.200,907.4065118
120.000,901.5575975
120.800,897.9309346
121.600,894.9491489
